word,meaning,translation,root,type,process meaning,normalized form
dándan,to reach (on -),reach,dánd,suffix,locative/referent focus (non-completed),dandan
dandán,understanding; to comprehend,understand,dandán,-,-,dandan
agnarandán,mysterious,mysterious,agnarandán,-,-,agnarandan
danél,"to crush, soften; swollen, pulpy",crush,danél,-,-,danel
danúm,"water; become wet, watery (on -)",water,danúm,-,-,danum
paranúm,irrigation system,irrigation,ranúm,prefix,causative/allowative,paranum
1dánop,to till (man-),till,1dánop,-,-,1danop
2dánop,"collection; to collect (e.g. stamps, coins, etc.)",collection,2dánop,-,-,2danop
dantál,"order, harmony",order,dantál,-,-,dantal
"danyós, dañós",damages (compensation for wrong inflicted etc.),compensation,"danyós, dañós",-,-,"danyos, danos"
dañgáldañgál,excessively slow,slow,dañgál,reduplication,full reduplication (intensifier/frequentative),dangaldangal
dañgán,to put one’s head on something,put one's head on something,dañgán,-,-,dangan
dañganán,pillow,pillow,dañganán,-,-,danganan
dáñgdañg,heat; to heat (man –),heat,dáñgdañg,-,-,dangdang
dañgól,bark (of dog); to bark (man -),bark,dañgól,-,-,dangol
daóp,to put the palms of the hands together (man -),clasp,daóp,-,-,daop
dapá,"to spread on the ground, usu. to expose",spread,dapá,-,-,dapa
dapán,sole of the foot,sole,dapán,-,-,dapan
dápat,"obtain, reach, arrive at",obtain,dápat,-,-,dapat
dapígas,"to touch, be touching (on -)",touch,dapígas,-,-,dapigas
dápil,to mill sugar cane,mill,dápil,-,-,dapil
dapít,"in the direction of, towards (the east etc.)",direction,dapít,-,-,dapit
daplís,"miss, failure to hit target, etc.",miss,daplís,-,-,daplis
dápo,"landing place; to alight, drop onto (on -)",landing,dápo,-,-,dapo
dápol,ash; reduce to ashes (on -),ash,dápol,-,-,dapol
dápot,provided that; as long as,as long as,dápot,-,-,dapot
darás,carpenter’s adze,adze,darás,-,-,daras
dasál,prayer; to pray (man -),pray,dasál,-,-,dasal
dasalán,"prayer book, missal",prayer book,dasalán,-,-,dasalan
daség,"put in line, arrange (man -)",arrange,daség,-,-,daseg
dásel,movement; to move (on -),movement,dásel,-,-,dasel
dásig,"straight line, row; to line up, arrange in a line (man-)",line up,dásig,-,-,dasig
datál,wooden or bamboo floor,wooden floor,datál,-,-,datal
datéñg,encounter,encounter,datéñg,-,-,dateng
dáti,"before, previously; frequently done, customary, habitual",before,dáti,-,-,dati
dátu,"leader of a tribal group, chief",tribal chief,dátu,-,-,datu
dawá,rice grain (in relation to remainder of rice plant),rice grain,dawá,-,-,dawa
dáwat,favor sought,favor,dáwat,-,-,dawat
piráwat,to seek a favor,asking favor,piráwat,-,-,pirawat
arawí,"far, distant",far,arawí,-,-,arawi
arawdawí,very far,very far,arawdawí,-,-,arawdawi
dayábdab,"to flare up, spread (of fire) (man -)",spread,dayábdab,-,-,dayabdab
dáyat,"sea, ocean",sea,dáyat,-,-,dayat
dáyew,"honor, respect, praise; to honor etc. (man -)",honor,dáyew,-,-,dayew
dEvoción,devotion; perform an act of (esp. religious) devotion (man -),devotion,dEvoción,-,-,devocion
deén,"be quiet, act quietly (man -)",be quiet,deén,-,-,deen
mareén,"quiet, still",quiet,reén,prefix,causative / stative,mareen
dekén,"woven bamboo ring for placing at base of pots, jars, etc.",coaster,dekén,-,-,deken
dekét,blackness; become black (on -),blackness,dekét,-,-,deket
andekét,black,black,dekét,nasal_prefix,"actor focus (nasal-assimilating, completed)",andeket
deláñgdeláñg,sudden heat,,deláñg,reduplication,full reduplication (intensifier/frequentative),delangdelang
deláp,flood; to flood (on -),flood,deláp,-,-,delap
déldel,to insist (on -),insist,déldel,-,-,deldel
delegádo,delegate,delegate,delegádo,-,-,delegado
dElíver,to deliver (goods) (man -),deliver,dElíver,-,-,deliver
délnet,"to dip in sugar, salt, etc.",dip in,délnet,-,-,delnet
delsáñg,tobacco ash,tobacco ash,delsáñg,-,-,delsang
dEmánda,to accuse,accuse,dEmán,suffix,3pl genitive enclitic,demanda
demét,"to choose, pick out (on -)",choose,demét,-,-,demet
dEmocrácia,democracy,democracy,dEmocrácia,-,-,democracia
dEmónio,devil,devil,dEmónio,-,-,demonio
dená,lime (chemical),lime,dená,-,-,dena
dendén,"frustrations, troubles",frustations,dendén,-,-,denden
deñgél,to hear (on -),hear,deñgél,-,-,dengel
nañgelán,was heard,heard,nañgelán,-,-,nangelan
depá,arm; to spread with outstretched arms (man -),arm,depá,-,-,depa
depák,to kick (man -),kick,depák,-,-,depak
dEpartamÉnto,department,department,dEpartamÉn,suffix,3sg genitive enclitic,departamento
dEfÉcto,defect,defect,dEfÉc,suffix,3sg genitive enclitic,defecto
dérak,"to consume, use (water, electricity, etc.) (man -); to lose, use up (- en)",consume,dérak,-,-,derak
déral,to destroy (man -),destroy,déral,-,-,deral
deremén,"‘black rice’, a sweet made from toasting",black rice dish,deremén,-,-,deremen
derÉtsa,"legitimate, rightful",legitimate,derÉtsa,-,-,deretsa
dérew,to hand something (man -),to hand,dérew,-,-,derew
deriá,to teach a lesson (in punitive sense),lesson,deriá,-,-,deria
dEsgrasiá,accident,accident,dEsgrasiá,-,-,desgrasia
desi-,"(before numerals saís , siÉte , ócho , nuÉvE) -teen",-teen,desi- ,-,-,desi-
desiáng,accident,accident,desiáng,-,-,desiang
dEciÉmbrE,December,december,dEciÉmbrE,-,-,deciembre
dÉspartE,impossible,impossible,dÉspartE,-,-,desparte
dEstíno,destination,destination,dEstíno,-,-,destino
dEtÉra,"dismissal of gathering, class, etc. finishing time;",dismissal,dEtÉra,-,-,detera
di,plural or respect marker used with personal nouns to indicate subject/topic,di,di,-,-,di
diá,here,here,diá,-,-,dia
división,division (esp. in government office etc.),division,división,-,-,division
didál,thimble,thimble,didál,-,-,didal
diÉs,"ten (in phrases referring to money, time, dates, addresses)",ten,diÉs,-,-,dies
digó,"soup, cook as soup (-an )",soup,digó,-,-,digo
diká,"grass, weeds",grass,diká,-,-,dika
dikén,"cloth ring placed on head under pot, basket being carried",cloth ring,dikén,-,-,diken
díket,stain left by drops of liquid,stain,díket,-,-,diket
dikíng,side (of person or object),side,dikíng,-,-,diking
dilá,tongue,tongue,dilá,-,-,dila
dilamós,to wash the face (man -),wash,dilamós,-,-,dilamos
dilát,to stick out the tongue,stick out,dilát,-,-,dilat
díldil,"to lick a plate clean, lap up (man -)",lick,díldil,-,-,dildil
díli,"self, (one’s) own",self,díli,-,-,dili
díloy,sweetness (e.g. of love),sweetness,díloy,-,-,diloy
dimán,there,there,dimán,-,-,diman
dínan,which (interrogative),which,dín,suffix,locative/referent focus (non-completed),dinan
díno,else,else,díno,-,-,dino
dinték,something finely made and aligned,flawless,dték,infix,completed aspect marker,dintek
marinték,exactly and finely made in line,flawless,rték,prefix,causative / stative,marintek
díñgdiñg,wall; to wall a house etc. (man -),wall,díñgdiñg,-,-,dingding
diñgót,"dirt, mess; become dirty (on -)",dirt,diñgót,-,-,dingot
mariñgót,dirty; dirty clothing ready for washing,dirty,riñgót,prefix,causative / stative,maringot
Diós,God,god,Diós,-,-,dios
diósa,"goddess, (woman of) great beauty",goddess,diósa,-,-,diosa
diplóma,"diploma, academic degree, certificate of completion (of schooling, course, etc.)",diploma,diplóma,-,-,diploma
diputádo,congressman,congressman,diputádo,-,-,diputado
directória,directorate (esp. committee of leaders of political party),drectorate,directória,-,-,directoria
dirlíñg,to listen attentively,listen,dirlíñg,-,-,dirling
dirósa,pink; become pink (on -),pink,dirósa,-,-,dirosa
disgústo,"displeased, displeasure",displeased,disgús,suffix,3sg genitive enclitic,disgusto
dismáyo,"discouraged, disappointed",discouraged,dismá,suffix,2pl genitive enclitic,dismayo
distánsia,distance,distance,distánsia,-,-,distansia
distríto,district (esp. congressional district),district,distrí,suffix,3sg genitive enclitic,distrito
ditá,"venom, poison secreted by snakes and other animals; to smear poison on an arrow head etc.",venom,ditá,-,-,dita
ditán,there (near addressee),there,ditán,-,-,ditan
diwít,"to touch lightly, e.g. with the tips of one’s fingers",touch,diwít,-,-,diwit
duá,two,two,duá,-,-,dua
duámplo,twenty,twenty,duámplo,-,-,duamplo
duanlasós,two hundred,two hundred,duanlasós,-,-,duanlasos
duduára,two only,two only,duára,reduplication,partial reduplication (plural nouns),duduara
duára,two individuals,two individuals,duára,-,-,duara
komaduá,second in order,second in order,komaduá,-,-,komadua
komalabinduá,twelfth,twelfth,komalabduá,infix,completed aspect marker,komalabindua
labinduá,twelve,twelve,labduá,infix,completed aspect marker,labindua
lablabinduá,twelve only,twelve only,labduá,infix,completed aspect marker,lablabindua
maminduá,"twice, two times",twice,nduá,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mamindua
pídua,second time,second time,pídua,-,-,pidua
sandérua,two by two; two each,two by two,sandérua,-,-,sanderua
duarúa,fickle mind; doubts,doubts,duarúa,-,-,duarua
dóble,double,double,dóble,-,-,doble
duég,carabao,carabao,duég,-,-,dueg
duÉto,duet; sing etc. a duet (man -),duet,duÉ,suffix,3sg genitive enclitic,dueto
dúga,"enough, fit; to fit well, be just enough (on-)",enough,dúga,-,-,duga
duká,beggar,beggar,duká,-,-,duka
dukámat,"mention something unintentionally, let slip",slip,dukámat,-,-,dukamat
dukámil,"poor work, messy condition or appearance of something done",poor work,dukámil,-,-,dukamil
dokdók,to pick up or raise something from the floor (maN -),pick up,dokdók,-,-,dokdok
dukéy,length,length,dukéy,-,-,dukey
andukéy,"long; become long, be elongated (on-)",long,dukéy,nasal_prefix,"actor focus (nasal-assimilating, completed)",andukey
dukiáng,a very small variety of clam,clam,dukiáng,-,-,dukiang
dúklos,to hit (on -),hit,dúklos,-,-,duklos
dúknal,"to attend, be present at a gathering, party, etc. (on -)",attend,dúknal,-,-,duknal
dokól,to lie down (on -),lie down,dokól,-,-,dokol
docomÉnto,document,document,docomÉn,suffix,3sg genitive enclitic,docomento
dókot,"kidnapping, pickpocketing; to kidnap (maN -)",pickpocketing,dókot,-,-,dokot
duksá,"cruelty, violence",cruelty,duksá,-,-,duksa
maruksá,"cruel, severe",cruel,ruksá,prefix,causative / stative,maruksa
dóctor,doctor; study to become a doctor (man -),doctor,dóctor,-,-,doctor
dolákak,egret,wading birds,dolákak,-,-,dolakak
dúlang,low table for use by persons squatting on floor,table,dúlang,-,-,dulang
dolíng,cross eyed,cross eyed,dolíng,-,-,doling
dológ,to (present a) petition to a superior court (on-),petition,dológ,-,-,dolog
"dólyar, dóllar /dólyar/dollar",(plural: dolyárEs),dollar,"dólyar, dóllar /dólyar/dollar",-,-,"dolyar, dollar /dolyar/dollar"
dumá,different; be different (man -); become different (on -),different,dumá,-,-,duma
nidumá,abnormal,abnormal,nidumá,-,-,niduma
nirumárumá,unique,unique,nirumárumá,-,-,nirumaruma
domég,"to hang one’s head (in shame, embarrassment, etc.) (on -)",shameful,domég,-,-,domeg
dómog,"to find, come across unexpectedly",find,dómog,-,-,domog
dúmsis,"lie, evil doing",lie,dúmsis,-,-,dumsis
madúmsis,liar,liar,dúmsis,prefix,causative / stative,madumsis
Don,honorific title preceding Christian name families and also barrio captains,Don,Don,-,-,don
dóndon,"to accomplish, fulfill (on -)",accomplish,dóndon,-,-,dondon
dónoñg,"skill, good qualities",skill,dónoñg,-,-,donong
marónoñg,skilled,skilled,rónoñg,prefix,causative / stative,maronong
Doña,honorific title preceding Christian name notable family; also used to denote woman given to asserting superiority etc.,Donya,Doña,-,-,dona
doñgáp,to breathe heavily from illness or exhaustion (man -),breathe heavily,doñgáp,-,-,dongap
doñgáw,to look out of the window (on -),look out,doñgáw,-,-,dongaw
dorongáwen,window,window,dorongáw,suffix,patient focus (non-completed),dorongawen
doñgét,to come out of a room etc. (on -),come out,doñgét,-,-,donget
doñgó,to go to eat at the table (on -); meet someone face to face,go eat,doñgó,-,-,dongo
paroñgó,"conduct guests to the table, have guests for dinner (man -); serve (food) (i -)",guest,roñgó,prefix,causative/allowative,parongo
pandoroñgoán,celebration‚ get-together,celebration,doroñgoán,nasal_prefix,causative/instrumental nasal-assimilating,pandorongoan
doóñg,"to anchor, moor",anchor,doóñg,-,-,doong
dorooñgán,"port; entrance, gateway",port,dorooñgán,-,-,doroongan
doót,to kill (on -),kill,doót,-,-,doot
dopág,"presence of many people at a gathering, funeral, etc.; to be present at such a gathering (on -)",gathering,dopág,-,-,dopag
dopíkpik,to waddle,waddle,dopíkpik,-,-,dopikpik
dopisák,"to sit in a relaxed or carefree manner, to sprawl (on -)",sit,dopisák,-,-,dopisak
dupóñg,"group of persons, meeting of two or more persons",group meeting,dupóñg,-,-,dupong
durón,winged stage of locust or grasshopper,grasshopper,durón,-,-,duron
dórot,poke someone with a stick or finger,poke,dórot,-,-,dorot
dos,"two (time, money, etc.)",two,dos,-,-,dos
dosá,punishment (general term),punishment,dosá,-,-,dosa
dósE,"twelve (time, money, etc.)",twelve,dósE,-,-,dose
duták,"dirt, filth, mess; to scatter dirt etc. (man -)",dirt,duták,-,-,dutak
maruták,"dirty, messy",dirty,ruták,prefix,causative / stative,marutak
duyáw,yellow,yellow,duyáw,-,-,duyaw
dóyo,to attract the senses,attract,dó,suffix,2pl genitive enclitic,doyo
makaróyo,inviting fragrance,fragrance,karó,prefix,causative / stative,makaroyo
doyók,to thrust (man -),thrust,doyók,-,-,doyok
dráma,(theatrical) play,play,dráma,-,-,drama
pidráma,to cast in a play,cast,pidráma,-,-,pidrama
jeepney,"/dyípni/ ‘jeepney’, a mini-bus made from a Jeep",jeepney,jeepney,-,-,jeepney
e,"interjection usu. to get or maintain attention of addressee, draw atention to what one has said, etc.",e,e,-,-,e
Earopláno,airplane,airplane,Earopláno,-,-,earoplano
ebá,to carry (esp. carry a child) (man -),carry,ebá,-,-,eba
1e,bákto peel (a fruit etc.) (man -) 2ebák= ebá,e,1e,-,-,1e
Evaporáda,evaporated; evaporated milk,evaporated milk,Evaporá,suffix,3pl genitive enclitic,evaporada
ebát,"reply, answer; to answer (on -)",reply,ebát,-,-,ebat
ebéb,"a variety of banana with large sweet fruit,",banana,ebéb,-,-,ebeb
ébeg,"(of a lover) jealousy, possessiveness; to become jealous (on-)",jealousy,ébeg,-,-,ebeg
ebéñg,thinness; become thin (on -),thinness,ebéñg,-,-,ebeng
mabéñg,"thin, lean",thin,béñg,prefix,causative / stative,mabeng
ebés,"to be behind time, too late; of rice: maturing too late, therefore with little harvestable grain",late,ebés,-,-,ebes
ebét,"anus, rectum",ass,ebét,-,-,ebet
ed,"marker for unfocused referent in verbal sentences; to, for, at, on",to,ed,-,-,ed
Edád,age,age,Edád,-,-,edad
educación,education,education,educación,-,-,educacion
egáb,yawn; to yawn (man -),yawn,egáb,-,-,egab
egát,eel,eel,egát,-,-,egat
egés,"abdomen, stomach, belly",abdomen,egés,-,-,eges
egná,to hold (man -),hold,egná,-,-,egna
égpañg,to compare (man -),compare,égpañg,-,-,egpang
ekál,"to remove, take off, get out (on -)",remove,ekál,-,-,ekal
ekát,"absence of water in a river, brook, etc.; to",absence of water,ekát,-,-,ekat
reduce,the amount of water (on -),water,reduce,-,-,reduce
Exámin /Eksámin/,to examine (usu. in an official capacity or as a doctor examines a patient etc.) (man-),examine,Exám /Eksám/,infix,completed aspect marker,examin /eksamin/
elék,to laugh (on -),laugh,elék,-,-,elek
palék,cause to laugh,cause to laugh,lék,prefix,causative/allowative,palek
maelék,laughing,laughing,elék,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maelek
ElEcción,election,election,ElEcción,-,-,eleccion
eléng,nose,nose,eléng,-,-,eleng
elét,"rigor, firmness",firm,elét,-,-,elet
malét,"strong, well founded",strong,lét,prefix,causative / stative,malet
elétneg,"continuing, remaining (in force etc.)",to continue,elétneg,-,-,eletneg
eléw,dizziness,dizziness,eléw,-,-,elew
Embajadór,ambassador,ambassador,Embajadór,-,-,embajador
emék,small rice grain,small rice grain,emék,-,-,emek
emél,dumb (unable to speak),dumb,emél,-,-,emel
EmplEádo,employee,employee,EmplEádo,-,-,empleado
EnÉro,January,january,EnÉro,-,-,enero
Entabládo,"stage (for entertainers, speakers, etc.)",stage,Entabládo,-,-,entablado
éntang,to be tortured,torture,éntang,-,-,entang
EntÉrna,"cloistered, interned",cloistered,EntÉrna,-,-,enterna
EntÉro,"entire, whole",entire,EntÉro,-,-,entero
Éntra,"entrance, beginning of (event)",entrance,Éntra,-,-,entra
manEntra,the beginning,beginning,Entra,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manentra
Európa,Europe,europe,Európa,-,-,europa
epá,rice husk,rice husk,epá,-,-,epa
épas,to alight from a vehicle,alight,épas,-,-,epas
epél,"blunt, dull; become blunt (on -)",blunt,epél,-,-,epel
erás,hunger,hunger,erás,-,-,eras
narasán,hungry,hungry,narasán,-,-,narasan
erél,"arrest, apprehend, catch (man -)",arrest,erél,-,-,erel
erém,to eat supper (mañgdém = maN - + erém ),to eat,erém,-,-,erem
panamandém,suppertime,suppertime,dém,nasal_prefix,causative/instrumental nasal-assimilating,panamandem
ermén,"sorrow, loneliness, despair",sorrow,ermén,-,-,ermen
maermén,"sorrowful, sad, lonely",sorrowful,ermén,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maermen
kaermenán,"cause, occasion of sorrow",cause,kaermenán,-,-,kaermenan
ersísio,to take exercise (man -),take exercise,ersísio,-,-,ersisio
ésaes,to whisper together (man -),whisper together,ésaes,-,-,esaes
esél,to answer (on -); intercede (i -),answer,esél,-,-,esel
manañgiesél,intercessor,intercessor,añgiesél,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",manangiesel
esér,pointed instrument used in removing grains of corn from the corn cob,corn grain remover,esér,-,-,eser
esiáb,topic,topic,esiáb,-,-,esiab
Escandaló,scandal; to create a scandal (man -),scandal,Escandaló,-,-,escandalo
Eskóba,brush (for cleaning),brush,Eskóba,-,-,eskoba
EskuÉla,student; to go to school (man -),student,EskuÉla,-,-,eskuela
EskuElaán,school,school,EskuElaán,-,-,eskuelaan
EscribiÉntE,clerk,clerk,EscribiÉntE,-,-,escribiente
Espáda,sword,sword,Espá,suffix,3pl genitive enclitic,espada
nanEspáda,carrying a sword ExpEdiÉntE /EspEdiÉntE/records,carrying a sword,Espá,prefix,actor focus (completed),nanespada
EspEcialísta,specialist,specialist,EspEcialís,suffix,1du inclusive genitive enclitic,especialista
ExpÉrto /EspÉrto/,expert (plural: ExpÉrtos ),expert,ExpÉrto /EspÉrto/,-,-,experto /esperto/
Espínaca,spinach,spinash,Espínaca,-,-,espinaca
Espíritu,spirit,spirit,Espíritu,-,-,espiritu
Estádo,"state (political entity; condition in life, etc.)",state,Estádo,-,-,estado
Estádos Unídos,United States of America (EE.UU. U.S.A.),United States of America,Estádos Unídos,-,-,estados unidos
Estación,station; stop for passengers etc. at depot (on-),station,Estación,-,-,estacion
Estátua,"statue, figurine",statue,Estátua,-,-,estatua
et,"however, but",however,et,-,-,et
etá,"raw, uncooked or undercooked",raw,etá,-,-,eta
maetá,"unripe, green (fruit), uncooked",unripe,etá,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maeta
etél,constipation; difficulty or hardness in bowel movements,constipation,etél,-,-,etel
ey,particle marking questions,-,ey,-,-,ey
eyág,"to scream, shout (on -)",scream,eyág,-,-,eyag
eyéy,"call, demand; to demand (on -)",call,eyéy,-,-,eyey
íba,companion; to accompany (-an ); to help (man -),accompany,íba,-,-,iba
kaíba,"accompaniment; servant, helper, maid, houseboy; mate; chaperon",accompainment,kaíba,-,-,kaiba
Ibále,Manila,Manila,bále,prefix,theme/goal or benefactive focus (non-completed),ibale
ibég,"to covet, desire, fall in love with (on -)",desire,bég,prefix,theme/goal or benefactive focus (non-completed),ibeg
makakaibég,"jealousy, possessiveness",jealousy,kaibég,prefix,causative / stative,makakaibeg
igadó,"dish consisting of liver sauted with onions, garlic, etc.",dish with liver,gadó,prefix,theme/goal or benefactive focus (non-completed),igado
ígar,to grate (man -),grate,ígar,-,-,igar
igát,eel,eel,gát,prefix,theme/goal or benefactive focus (non-completed),igat
igólot,Igorot--minority groups living in the Benguet and Ifugao provinces in the mountains of Pangasinan,Igorot,gólot,prefix,theme/goal or benefactive focus (non-completed),igolot
igót,"niggardly, thrifty",frugal,gót,prefix,theme/goal or benefactive focus (non-completed),igot
ígsa,time (general term; includes time of the clock),time,ígsa,-,-,igsa
ígtad,"evasive move, sudden jump",dodge,ígtad,-,-,igtad
ikál,to abort (man -),abort,kál,prefix,theme/goal or benefactive focus (non-completed),ikal
kaikalán,abortion,abortion,kaikalán,-,-,kaikalan
ikamén,"mat; to sit, sleep on a mat (man -)",mat,kamén,prefix,theme/goal or benefactive focus (non-completed),ikamen
íkaw,earrings,earring,íkaw,-,-,ikaw
ikbán,"to release, become free (on -)",release,kbán,prefix,theme/goal or benefactive focus (non-completed),ikban
ikét,net,net,két,prefix,theme/goal or benefactive focus (non-completed),iket
íkit,"stepmother, stepfather",step-parent,íkit,-,-,ikit
iknól,egg,egg,knól,prefix,theme/goal or benefactive focus (non-completed),iknol
ikól,tail,tail,kól,prefix,theme/goal or benefactive focus (non-completed),ikol
iládo,fresh fish,fres fish,ládo,prefix,theme/goal or benefactive focus (non-completed),ilado
ilák,"to gyrate, turn around (on -)",spin,lák,prefix,theme/goal or benefactive focus (non-completed),ilak
ilálak,"children, direct descendants; to have children, direct descendants (man -)",child/children,lálak,prefix,theme/goal or benefactive focus (non-completed),ilalak
ilálo,"await, hope for, expect (man -)",expect,lálo,prefix,theme/goal or benefactive focus (non-completed),ilalo
iláñg,tower,tower,láñg,prefix,theme/goal or benefactive focus (non-completed),ilang
ílañgílañg,large tree having fragrant flowers with long yellow-green petals; the flowers themselves,Flowering tree,ílañg,reduplication,full reduplication (intensifier/frequentative),ilangilang
iláp,to cut finely (man -),mince,láp,prefix,theme/goal or benefactive focus (non-completed),ilap
ilík,unhusked rice,paddy,lík,prefix,theme/goal or benefactive focus (non-completed),ilik
ilít,to confiscate (man -),confiscate,lít,prefix,theme/goal or benefactive focus (non-completed),ilit
ilíw,homesickness; be homesick (on -),homesick,líw,prefix,theme/goal or benefactive focus (non-completed),iliw
ílog,river,river,ílog,-,-,ilog
ilóp,to sip (on -) 46,sip,lóp,prefix,theme/goal or benefactive focus (non-completed),ilop
ilót,to massage or rub gently (man -),massage,lót,prefix,theme/goal or benefactive focus (non-completed),ilot
ilwán,be accustomed to (man -),accustomed,lwán,prefix,theme/goal or benefactive focus (non-completed),ilwan
nailwán,"habit, addiction",habit,nailwán,-,-,nailwan
imáno,"to take care, see to",attend,máno,prefix,theme/goal or benefactive focus (non-completed),imano
imásmas,to recover,recoup,másmas,prefix,theme/goal or benefactive focus (non-completed),imasmas
imatón,"to observee, see, witness, test from illness, relax with the senses (man-)",observe,tón,prefix,theme/goal or benefactive focus (non-completed),imaton
imáy,topic marking particle (non-personal),,máy,prefix,theme/goal or benefactive focus (non-completed),imay
imbél,"hurt feelings, resentment (against
someone); to be hurt, offended (on-)",resentment,mbél,prefix,theme/goal or benefactive focus (non-completed),imbel
ímbis,instead,instead,ímbis,-,-,imbis
ímeng,"hot, warm; become warm (on -)",heat,ímeng,-,-,imeng
imigrásyon,immigration,immigration,grásyon,prefix,theme/goal or benefactive focus (non-completed),imigrasyon
ímis,smiling; to smile (man -),smiling,ímis,-,-,imis
ímus,shapely,shapely,ímus,-,-,imus
ímpis,thin (inanimate objects only),thin,ímpis,-,-,impis
imprÉnta,to print (maN -),print,mprÉn,prefix,theme/goal or benefactive focus (non-completed),imprenta
imsáy,gentle,gentle,msáy,prefix,theme/goal or benefactive focus (non-completed),imsay
iná,mother,mother,ná,prefix,theme/goal or benefactive focus (non-completed),ina
inagém,"fever, sickness; be sick (man -)",illness,nagém,prefix,theme/goal or benefactive focus (non-completed),inagem
inám,"to crave for food, drink, clothing, etc. (man -)",crave,nám,prefix,theme/goal or benefactive focus (non-completed),inam
ínan,see yan,fill,ín,suffix,locative/referent focus (non-completed),inan
ínap,suspicion; to suspect (man- ),suspicion,ínap,-,-,inap
ináraméy,"string, thread",strand,náraméy,prefix,theme/goal or benefactive focus (non-completed),inaramey
inasín,a relish made from salting fish or shrimp and leaving to age,fermented fish sauce,nasín,prefix,theme/goal or benefactive focus (non-completed),inasin
inatéy,"the dead, deceased",dead,natéy,prefix,theme/goal or benefactive focus (non-completed),inatey
ináwa,"feeling of relief, rest, repose; be comfortable, better off, live comfortably (on-); to rest (man -)",Ease,náwa,prefix,theme/goal or benefactive focus (non-completed),inawa
inbitá,to invite (man -),invite,nbitá,prefix,theme/goal or benefactive focus (non-completed),inbita
invitación,invitation,invitation,nvitación,prefix,theme/goal or benefactive focus (non-completed),invitacion
inchík,chinese person,Chinese,nchík,prefix,theme/goal or benefactive focus (non-completed),inchik
kaíndan,"left, abandoned",forsaken,kaínd,suffix,locative/referent focus (non-completed),kaindan
indEpEndiÉntE,independent,independent,ndEpEndiÉntE,prefix,theme/goal or benefactive focus (non-completed),independiente
indórso,endorse (esp. in relation to political candidacy),endorse,ndórso,prefix,theme/goal or benefactive focus (non-completed),indorso
inér,where (interrogative),where,nér,prefix,theme/goal or benefactive focus (non-completed),iner
ingEniÉro /inhEniÉro/,engineer,engineer,ngEniÉro /hEniÉro/,prefix,theme/goal or benefactive focus (non-completed),ingeniero /inheniero/
inkantáda,fairy tales,fairy tale,nkantá,prefix,theme/goal or benefactive focus (non-completed),inkantada
inóm,to drink (on -),drink,nóm,prefix,theme/goal or benefactive focus (non-completed),inom
inomáy,ease; become easy (on -),ease,nomáy,prefix,theme/goal or benefactive focus (non-completed),inomay
mainomáy,"easy, free of difficulty",simple,nomáy,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mainomay
inóñg,term of address used to a boy playmate whose name etc. is unknown to speaker (not used by adults),boy,nóñg,prefix,theme/goal or benefactive focus (non-completed),inong
inót,to do slowly or by degrees; consume something slowly (man-),savor,nót,prefix,theme/goal or benefactive focus (non-completed),inot
inútil,"disabled, useless",useless,nútil,prefix,theme/goal or benefactive focus (non-completed),inutil
insán,"then, next",next,nsán,prefix,theme/goal or benefactive focus (non-completed),insan
insúlto,"insult, to insult (man -)",insult,nsúl,prefix,theme/goal or benefactive focus (non-completed),insulto
inspiración,inspiration,inspiration,nspiración,prefix,theme/goal or benefactive focus (non-completed),inspiracion
intEligÉntE /intElihÉntE/,intelligent,intelligent,ntEligÉntE /tElihÉntE/,prefix,theme/goal or benefactive focus (non-completed),inteligente /intelihente/
intErmÉdia,intermediate,intermediate,ntErmÉdia,prefix,theme/goal or benefactive focus (non-completed),intermedia
"intsík, inchík",Chinese,chinese,"ntsík, chík",prefix,theme/goal or benefactive focus (non-completed),"intsik, inchik"
iñgál,"noise, shouting, altercation; to make noise, shout (on -)",yell,ñgál,prefix,theme/goal or benefactive focus (non-completed),ingal
maiñgál,"rowdy, excessively noisy",crass,ñgál,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",maingal
iñgás,hard breathing; be out of breath (on -),pant,ñgás,prefix,theme/goal or benefactive focus (non-completed),ingas
iñgát,toothpick; to pick one’s teeth (man -),toothpick,ñgát,prefix,theme/goal or benefactive focus (non-completed),ingat
iñgén,"but, moreover",however,ñgén,prefix,theme/goal or benefactive focus (non-completed),ingen
iñgét,narrow,narrow,ñgét,prefix,theme/goal or benefactive focus (non-completed),inget
IñglatÉrra,England,England,ñglatÉrra,prefix,theme/goal or benefactive focus (non-completed),inglaterra
iñglÉs,English (person or language),English,ñglÉs,prefix,theme/goal or benefactive focus (non-completed),ingles
íñglét,cruel,cruel,íñglét,-,-,inglet
1iñgóñgot,"annoyance, anger",irritation,1iñgóñgotannoyance,-,-,1ingongotannoyance
2iñgóñgot,"wish, hope",hope,2iñgóñgotwish,-,-,2ingongotwish
ípag,sister-in-law,sister-in-law,ípag,-,-,ipag
