word,meaning,translation,root,type,process meaning,normalized form
mo,"you (non-topic), your",you,mo,-,-,mo
-m,form of mo when preceding stem ends in a vowel,form of a word,-m,-,-,-m
muchácha,"(f.), servant",female servant,muchácha,-,-,muchacha
muchácho,(m.) servant,male servant,muchácho,-,-,muchacho
mogmóg,"to melt away, disintegrate; rotten wood",to melt away,mogmóg,-,-,mogmog
mokmók,gathering of people gossiping etc. in small groups,people gossiping,mokmók,-,-,mokmok
mokomók,reduce to powder; gold dust,grind,mokomók,-,-,mokomok
molíng,forehead,forehead,molíng,-,-,moling
molmól,to keep (sweet etc.) in the mouth to dissolve; suck thumb or finger,to keep,molmól,-,-,molmol
múlta,fine (penalty); to fine,fine,múl,suffix,1du inclusive genitive enclitic,multa
mómo,infection in the mouth making it difficult for bluent (of saw teeth etc.),infection in the mouth,mó,suffix,2sg genitive enclitic,momo
múndo,"world, earth",world,múndo,-,-,mundo
município,municipal hall,municipal hall,município,-,-,municipio
múra,something cheap,something cheap,múra,-,-,mura
mamúra,"cheap, inexpensive",cheap,úra,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mamura
mória,to give or hand to speaker; take note of something near at hand,to give or hand,mória,-,-,moria
móromóro,folk dramas centered around the conflicts between Christians and non-Christians in the early years of Christianization; pantomime,folk dramas centered around,móro,reduplication,partial reduplication (plural nouns),moromoro
músico,music,music,músico,-,-,musico
moskitÉro,mosquito net,mosquito net,moskitÉro,-,-,moskitero
musmús,stupid,stupid,musmús,-,-,musmus
móyoñg,"association, club, gang; something held in common",association,móyoñg,-,-,moyong
kamóyoñg,a rival in love,a rival in love,kamóyoñg,-,-,kamoyong
pa,particle indicating courtesy or respect; ‘please’,particle indicating courtesy or,pa,-,-,pa
padér,wall,wall,dér,prefix,causative/allowative,pader
pádpar,to run aground because of adverse wind or current; shipwreck,to run aground,pádpar,-,-,padpar
pádrE,priest; ‘father’ (term of address to priest),priest,pádrE,-,-,padre
padríno,"male sponsor at a wedding, baptism, etc. (term of reference only)",male sponsor,dríno,prefix,causative/allowative,padrino
pága,"anxiety, state of worry",anxiety,pága,-,-,paga
kapagaán,worries,dumb,kapagaán,-,-,kapagaan
mapága,"worried, distressed",worried,pága,prefix,causative / stative,mapaga
pagás,hoarse; to speak hoarsely,hoarse,gás,prefix,causative/allowative,pagas
pagátin,special wedding celebration held at the house of the bride’s parents after the wedding (irrespective of where the latter takes place),special wedding celebration ,gát,prefix,causative/allowative,pagatin
pagátpat,plant species of the genus Sonneratia,mangrove,gátpat,prefix,causative/allowative,pagatpat
pagéw,"breast, chest",breast,géw,prefix,causative/allowative,pagew
pagéy,rice plant; unhusked rice,rice plant,géy,prefix,causative/allowative,pagey
págod,to tie an animal with a long rope for grazing (man -),to tie an animal,págod,-,-,pagod
1pagpág,to scoop up dirt in the hands (man -),to scoop up dirt,1pagpág,-,-,1pagpag
2pagpág,partially paralyzed,partially paralyzed,2pagpág,-,-,2pagpag
país,fish wrapped in banana leaf and cooked in a kind of rice cake,fish wrapped in banana,ís,nasal_prefix,causative/instrumental nasal-assimilating,pais
páit,"guts, intestines (of animals)",guts,páit,-,-,pait
paít,bitter tasting,bitter tasting,ít,nasal_prefix,causative/instrumental nasal-assimilating,pait
ampaít,bitter,fool,ít,nasal_prefix,"actor focus (nasal-assimilating, completed)",ampait
pakáw,to handle (man -),to handle,káw,prefix,causative/allowative,pakaw
pakbét,type of vegetable dish,type of vegetable dish,kbét,prefix,causative/allowative,pakbet
pakiáw,to buy up entire stock at bargain price (maN -),to buy up entire,kiáw,prefix,causative/allowative,pakiaw
pákna,"to release all resources; approve completely, delight in",approve,pákna,-,-,pakna
pakó,edible fern,edible fern,kó,prefix,causative/allowative,pako
pakuán,watermelon,watermelon,kuán,prefix,causative/allowative,pakuan
1pakpák,to beat cotton or cloth with a rod,beat cotton,1pakpák,-,-,1pakpak
2pakpák,method of fishing or instrument used to catch fish,method fishing,2pakpák,-,-,2pakpak
1paksíw,to dismantle the stairs or ladder leading to the upper part (living quarters) of a traditional type house,dismantle the,1paksíw,-,-,1paksiw
2paksíw,"a dish consisting of fish cooked with vinegar, garlic, and spices",dish consisting,2paksíw,-,-,2paksiw
páktak,"to drop, fall (man -)",drop,páktak,-,-,paktak
páktañg,to warm (man -),warm,páktañg,-,-,paktang
pakwán,pakuán,pakuán,kwán,prefix,causative/allowative,pakwan
1palá,coconut pith,coconut pith,1palá,-,-,1pala
2palá,place for storing pillows and mats,place storing,2palá,-,-,2pala
palá,"then, so, so it is …",then,lá,prefix,causative/allowative,pala
palabuáy,to favor,favor,labuáy,prefix,causative/allowative,palabuay
palág,"to flag, be fatigued, tired",flag,lág,prefix,causative/allowative,palag
palagpág,"to uproot, blow over (usu. of the wind)",uproot,lagpág,prefix,causative/allowative,palagpag
1palakpák,to whiten,whiten,1palakpák,-,-,1palakpak
2palakpák,applause,applause,2palakpák,-,-,2palakpak
palamíre,"arch, decoration",arch,lamíre,prefix,causative/allowative,palamire
